scientificname,stocklong,species_cat,Loo,max_length,notes
Brevoortia patronus,Gulf menhaden Gulf of Mexico,SP,24.1,35,
Centroberyx gerrardi,Bight redfish Southeast Australia,D,,66,
Chionoecetes bairdi,Tanner crab Bering Sea and Aleutian Islands,D,,,
Chionoecetes opilio,Snow crab Bering Sea,D,,,
Chionoecetes opilio,Snow Crab Division 2J,D,,,
Chionoecetes opilio,Snow Crab Division 3K,D,,,
Chionoecetes opilio,Snow Crab Division 3NO,D,,,
Chionoecetes opilio,Snow Crab Division 3Ps,D,,,
Chionoecetes opilio,Snow crab Southern Gulf of St. Lawrence,D,,,
Clupeonella engrauliformis,Anchovy kilka Caspian Sea,SP,,,
Dentex tumifrons,Yellow sea bream Sea of Japan,D,,,
Dissostichus mawsoni,Antarctic toothfish Ross Sea,LP,180.2,200,
Epinephelus niveatus,Snowy grouper Southern Atlantic coast,D,,,
Farfantepenaeus aztecus,Brown shrimp Gulf of Mexico,D,,,
Farfantepenaeus duorarum,Pink shrimp Gulf of Mexico,D,,,
Haliotis iris,Black Foot Paua NZ North PAUA5A,D,,,
Haliotis iris,New Zealand abalone species New Zealand Area PAU 7,D,,,
Haliotis iris,Black Foot Paua NZ South PAUA5A,D,,,
Haliotis iris,New Zealand abalone species New Zealand Area PAU 5B,D,,,
Haliotis iris,New Zealand abalone species New Zealand Area PAU 5D,D,,,
Hexagrammos decagrammus,Kelp greenling Oregon Coast,D,,,
Homarus americanus,American lobster Georges Bank,D,,,
Homarus americanus,American lobster Gulf of Maine,D,,,
Homarus americanus,American lobster Southern New England,D,,,
Hoplostethus atlanticus,Orange roughy Cascade Plateau,SP,40.1,,
Hoplostethus atlanticus,Orange roughy Southeast Australia,SP,40.1,,
Hoplostethus atlanticus,Orange Roughy Chatham Rise,SP,40.1,,
Hoplostethus atlanticus,Orange roughy New Zealand Mid East Coast,SP,40.1,,
Jasus edwardsii,Red rock lobster New Zealand area CRA1,D,,,
Jasus edwardsii,Red rock lobster New Zealand area CRA2,D,,,
Jasus edwardsii,Red rock lobster New Zealand area CRA3,D,,,
Jasus edwardsii,Red rock lobster New Zealand area CRA4,D,,,
Jasus edwardsii,Red rock lobster New Zealand area CRA5,D,,,
Jasus edwardsii,Red rock lobster New Zealand area CRA7,D,,,
Jasus edwardsii,Red rock lobster New Zealand area CRA8,D,,,
Jasus edwardsii,Rock Lobster South Australia Northern Zone,D,,,
Jasus edwardsii,Rock Lobster South Australia Southern Zone,D,,,
Kajikia audax,Striped marlin Northeast Pacific,LP,275,420,
Kajikia audax,Striped marlin Western and Central North Pacific,LP,275,420,
Kajikia audax,Striped marlin North Pacific,LP,275,420,
Kajikia audax,Striped marlin Southwestern Pacific Ocean,LP,275,420,
Lepidorhombus boscii,Fourspotted megrim ICES VIIIc-IXa,D,,40,
Metanephrops challengeri,Scami Bay of Plenty,D,,,
Metanephrops challengeri,Scampi Wairapa/Hawke Bay,D,,,
Micropogonias undulatus,Atlantic croaker Mid-Atlantic Coast,D,,,
Morone saxatilis,Striped bass Gulf of Maine / Cape Hatteras,D,,,
Mycteroperca bonaci,Black Grouper Gulf of Mexico,D,131,,Reef
Mycteroperca microlepis,Gag Gulf of Mexico,D,124,,Reef
Pagrus major,Red seabream East China Sea,D,,,
Pagrus major,Red seabream Inland Sea of Japan (East),D,,,
Pagrus major,Red seabream Inland Sea of Japan (West),D,,,
Pandalus borealis,Northern shrimp Gulf of Maine,D,,,
Panopea generosa,Pacific Geoduck Washington,D,,,
Paralithodes camtschaticus,Red king crab Bristol Bay,D,,,
Paralithodes platypus,Blue king crab Pribilof Islands,D,,,
Paralithodes platypus,Blue king crab Saint Matthews Island,D,,,
Placopecten magellanicus,Sea scallop Georges Bank,D,,,
Placopecten magellanicus,Sea scallop Mid-Atlantic Coast,D,,,
Platichthys stellatus,Starry flounder Northern Pacific Coast,D,,,
Platichthys stellatus,Starry flounder Southern Pacific Coast,D,,,
Platycephalus conatus,Deepwater flathead Southeast Australia,D,,,
Pseudocarcinus gigas,Tasmanian giant crab Tasmania,D,,,
Scomber australacius,Blue mackerel Pacific Coast of Japan,SP,44,,
Scomberomorus niphonius,Japanese Spanish mackerel Inland Sea of Japan,LP,101,,
Sebastes carnatus,Gopher rockfish Southern Pacific Coast,D,,,
Sebastes chlorostictus,Greenspotted rockfish Pacific Coast North,D,,,
Sebastes chlorostictus,Greenspotted rockfish Pacific Coast South,D,,,
Sebastes diploproa,Splitnose Rockfish Pacific Coast,D,,,
Sebastes elongatus,Greenstriped rockfish Pacific Coast,D,,,
Sebastes entomelas,Widow rockfish Pacific Coast,SP,,60,
Sebastes melanostomus,Blackgill rockfish  Pacific Coast,D,,,
Sebastes norvegicus,Golden Redfish Northeast Arctic,SP,46.4,100,
Sebastes rufus,Bank Rockfish California,D,,,
Sebastes spp,Redfish species NAFO 3LN,D,,,
Sebastes spp,Redfish species NAFO 3M,D,,,
Sebastolobus alascanus,Shortspine thornyhead Pacific Coast,D,,,
Sebastolobus altivelis,Longspine thornyhead Pacific Coast,D,,,
Seriolella brama,Blue Warehou Eastern half of Southeast Australia,LP,59.8,,benthopelagic
Seriolella brama,Blue Warehou Western half of Southeast Australia,LP,,,
Spisula solidissima,Atlantic surfclam Mid-Atlantic Coast,D,,,
Squalus suckleyi,Spotted spiny dogfish Pacific Coast,LP,,,benthopelagic
Trisopterus esmarkii,Norway pout North Sea,SP,20.5,,
Zoarces americanus,Ocean pout Northwestern Atlantic Coast,D,,,
