# These species names, database (RAM/FAO), and species categories
# were taken from the file
# `Compiled_Assessed_and_Unassessed_Data_5_with_Props.csv`
# by Sean on 2015-06-22
# the 3 categories correspond to the categories in the simulation dataset
spname,database,LH2
Acanthistius brasilianus,FAO,D
Acanthocybium solandri,FAO,LP
Acanthopagrus bifasciatus,FAO,D
Acanthopagrus latus,FAO,D
Acanthopagrus schlegeli,FAO,D
Albula vulpes,FAO,D
Alectis alexandrinus,FAO,NA
Alepes djedaba,FAO,D
Allocyttus niger,Ram,SP
Alopias vulpinus,FAO,LP
Alosa pontica,FAO,SP
Alosa pseudoharengus,FAO,SP
Alosa sapidissima,FAO,LP
Ammodytes marinus,Ram,SP
Ammodytes personatus,FAO,D
Amphichthys cryptocentrus,FAO,D
Anarhichas denticulatus,FAO,D
Anarhichas lupus,FAO,D
Anarhichas minor,FAO,D
Anodontostoma chacunda,FAO,SP
Anoplopoma fimbria,Ram,D
Anoplopoma fimbria,FAO,D
Aphanopus carbo,FAO,LP
Aphareus rutilans,FAO,D
Archosargus probatocephalus,FAO,D
Arctoscopus japonicus,FAO,D
Argyrops spinifer,FAO,D
Argyrosomus hololepidotus,FAO,D
Argyrosomus regius,FAO,D
Argyrozona argyrozona,FAO,D
Ariomma indica,FAO,SP
Arius thalassinus,FAO,D
Arripis georgianus,FAO,SP
Arripis trutta,Ram,LP
Arripis trutta,FAO,LP
Aspitrigla cuculus,FAO,D
Atheresthes evermanni,FAO,D
Atheresthes stomias,FAO,D
Atheresthes stomias,Ram,D
Atherina boyeri,FAO,D
Atractoscion aequidens,FAO,LP
Atractoscion nobilis,FAO,D
Atrobucca nibe,FAO,D
Atule mate,FAO,D
Austroglossus microlepis,FAO,D
Austroglossus pectoralis,FAO,D
Auxis thazard,FAO,LP
Balistes carolinensis,FAO,D
Belone belone,FAO,LP
Beryx splendens,FAO,LP
Bolbometopon muricatum,FAO,D
Boops boops,FAO,D
Boreogadus saida,FAO,D
Bothus pantherinus,FAO,D
Brachydeuterus auritus,FAO,D
Brama australis,FAO,NA
Brama brama,FAO,LP
Bregmaceros mcclellandi,FAO,NA
Brevoortia aurea,FAO,NA
Brevoortia pectinata,FAO,NA
Brevoortia tyrannus,Ram,SP
Brosme brosme,FAO,D
Brotula barbata,FAO,D
Callorhinchus callorynchus,FAO,D
Callorhinchus capensis,FAO,D
Callorhinchus milii,FAO,D
Campogramma glaycos,FAO,NA
Carangoides bajad,FAO,D
Carangoides fulvoguttatus,FAO,D
Carangoides malabaricus,FAO,D
Caranx crysos,FAO,D
Caranx hippos,FAO,D
Caranx ignobilis,FAO,D
Caranx rhonchus,FAO,SP
Caranx sexfasciatus,FAO,D
Carcharhinus falciformis,FAO,D
Carcharhinus longimanus,FAO,LP
Carcharhinus sorrah,FAO,D
Caulolatilus princeps,FAO,D
Centroberyx affinis,FAO,D
Centrophorus granulosus,FAO,D
Centrophorus squamosus,FAO,D
Centropomus undecimalis,FAO,D
Centropristis striata,Ram,D
Centropristis striata,FAO,D
Centroscymnus coelolepis,FAO,D
Cephalopholis boenak,FAO,D
Cephalopholis hemistiktos,FAO,D
Cephalopholis miniata,FAO,D
Cetengraulis edentulus,FAO,SP
Cetengraulis mysticetus,FAO,SP
Cetorhinus maximus,FAO,LP
Champsocephalus gunnari,FAO,LP
Cheilodactylus bergi,FAO,D
Cheilodactylus variegatus,FAO,D
Chelidonichthys capensis,FAO,D
Chelidonichthys kumu,FAO,D
Chelidonichthys lucerna,FAO,D
Chelon haematocheilus,FAO,NA
Chimaera monstrosa,FAO,D
Chirocentrus dorab,FAO,D
Chirocentrus nudus,FAO,LP
Chloroscombrus chrysurus,FAO,SP
Chloroscombrus orqueta,FAO,NA
Chrysophrys auratus,Ram,D
Cilus gilberti,FAO,D
Clupanodon thrissa,FAO,NA
Clupea harengus,Ram,SP
Clupea harengus,FAO,SP
Clupea pallasii,FAO,SP
Clupea pallasii,Ram,SP
Clupeonella cultriventris,FAO,SP
Cololabis saira,FAO,SP
Conger conger,FAO,D
Conger myriaster,FAO,D
Conger oceanicus,FAO,D
Conger orbignyanus,FAO,D
Conodon nobilis,FAO,D
Coryphaena hippurus,FAO,LP
Coryphaenoides rupestris,FAO,LP
Cyclopterus lumpus,FAO,D
Cynoscion acoupa,FAO,D
Cynoscion analis,FAO,D
Cynoscion guatucupa,FAO,LP
Cynoscion jamaicensis,FAO,D
Cynoscion leiarchus,FAO,D
Cynoscion nebulosus,FAO,D
Cynoscion regalis,Ram,D
Cynoscion striatus,FAO,D
Cynoscion virescens,FAO,D
Cypselurus agoo,FAO,NA
Cyttus traversi,FAO,D
Dalatias licha,FAO,D
Dasyatis akajei,FAO,D
Deania calcea,FAO,D
Decapterus maruadsi,FAO,D
Decapterus russelli,FAO,SP
Dentex angolensis,FAO,D
Dentex congoensis,FAO,D
Dentex dentex,FAO,D
Dentex macrophthalmus,FAO,SP
Diapterus auratus,FAO,D
Dicentrarchus labrax,FAO,D
Dicentrarchus punctatus,FAO,LP
Dicologlossa cuneata,FAO,D
Diplodus sargus,FAO,D
Diplodus vulgaris,FAO,D
Dipturus innominatus,FAO,D
Dissostichus eleginoides,FAO,LP
